Brand,Model,Variant,Engine CC,Power,Torque,Mileage,Fuel Tank,Weight,Seat Height,Ground Clearance,ABS,Traction Control,Bluetooth,Navigation,Quick Shifter,Riding Modes,Tyre Type,Transmission,Fuel Type,Cooling Type,Price,Top Speed,Maintenance Cost,Resale Score,Reliability Score,Comfort Score,Touring Score,Highway Score,City Score,Off-road Score,Beginner Friendly,Sport Score,Adventure Score,Cruiser Score,Street Score,Scooter Score,Manufacturer,Launch Year
Honda,Activa 6G,Alloy Wheels (2018),109,7.8 bhp,8.9 Nm,50,5.3,106,692,162,None,No,No,No,No,No,Tubeless,Automatic,Petrol,Air Cooled,79560,85,250,10,10,9,4,5,10,1,Yes,1,1,1,2,10,Honda,2018
Honda,SP 125,Alloy Wheels (2018),124,10.7 bhp,10.9 Nm,60,11.0,116,790,160,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,87720,100,300,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,Shine 125,Alloy Wheels (2018),124,10.7 bhp,11 Nm,58,10.5,114,791,162,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,81600,98,280,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,CB350 H'ness,Alloy Wheels (2018),348,20.8 bhp,30 Nm,35,15.0,181,800,166,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,214200,120,600,8,9,9,8,8,8,1,Yes,2,2,9,6,1,Honda,2018
Suzuki,Access 125,Alloy Wheels (2018),124,8.7 bhp,10 Nm,48,5.0,103,773,160,Single Channel,No,Yes,No,No,No,Tubeless,Automatic,Petrol,Air Cooled,81600,90,280,9,9,9,4,5,10,1,Yes,1,1,1,2,10,Suzuki,2018
Suzuki,Gixxer SF 250,Alloy Wheels (2018),249,26.1 bhp,22.2 Nm,38,12.0,161,800,165,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Oil Cooled,195840,145,650,7,8,7,7,8,8,1,Intermediate,8,2,3,8,1,Suzuki,2018
Suzuki,Hayabusa,Alloy Wheels (2018),1340,190 bhp,150 Nm,15,20.0,264,800,125,Dual Channel,Yes,No,No,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,1728900,299,4500,6,7,7,8,9,4,1,No,8,1,4,5,1,Suzuki,2018
Kawasaki,Ninja 300,Alloy Wheels (2018),296,39 bhp,26.1 Nm,28,17.0,179,785,140,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,349860,160,1500,7,7,7,7,8,6,1,Intermediate,8,2,3,6,1,Kawasaki,2018
Kawasaki,Ninja 650,Alloy Wheels (2018),649,68 bhp,64 Nm,21,15.0,196,790,130,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,730320,210,2500,7,7,7,8,8,6,1,No,8,2,4,7,1,Kawasaki,2018
Kawasaki,Z900,Alloy Wheels (2018),948,125 bhp,98.6 Nm,17,17.0,212,820,145,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,938400,240,3200,7,7,8,7,8,7,1,No,9,1,3,9,1,Kawasaki,2018
Triumph,Speed 400,Alloy Wheels (2018),398,39.5 bhp,37.5 Nm,30,13.0,176,790,160,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,237660,145,900,8,8,8,7,8,8,1,Yes,5,2,6,9,1,Triumph,2018
Triumph,Scrambler 400X,Alloy Wheels (2018),398,39.5 bhp,37.5 Nm,28,13.0,185,835,195,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,268260,140,1000,8,8,8,8,8,7,8,Intermediate,5,8,4,7,1,Triumph,2018
Harley-Davidson,X440,Alloy Wheels (2018),440,27 bhp,38 Nm,32,13.5,190.5,805,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,244800,130,950,8,8,9,8,8,8,1,Yes,3,2,9,6,1,Harley-Davidson,2018
Royal Enfield,Classic 350,Chrome Connect (2018),349,20.2 bhp,27 Nm,35,13.0,195,805,170,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,220000,114,500,9,9,9,8,8,9,2,Yes,3,2,9,6,1,Royal Enfield,2018
Royal Enfield,Bullet 350,Chrome Connect (2018),349,20.2 bhp,27 Nm,37,13.0,191,805,170,Single Channel,No,No,No,No,No,Tubed,Manual,Petrol,Air Cooled,175000,110,450,9,9,8,7,7,8,1,Yes,2,2,8,5,1,Royal Enfield,2018
Royal Enfield,Meteor 350,Chrome Connect (2018),349,20.2 bhp,27 Nm,35,15.0,191,765,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,205000,120,550,8,9,9,9,8,8,1,Yes,2,2,10,6,1,Royal Enfield,2018
Royal Enfield,Himalayan 450,Chrome Connect (2018),452,40.0 bhp,40 Nm,30,17.0,196,825,230,Dual Channel,No,Yes,Yes,No,Yes,Tubeless,Manual,Petrol,Liquid Cooled,285000,140,800,8,8,8,9,9,7,8,No,3,10,4,6,1,Royal Enfield,2018
Royal Enfield,Hunter 350,Chrome Connect (2018),349,20.2 bhp,27 Nm,36,13.0,181,790,150,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,150000,114,450,9,9,8,7,7,9,1,Yes,3,2,7,8,1,Royal Enfield,2018
Royal Enfield,Interceptor 650,Chrome Connect (2018),648,47.0 bhp,52 Nm,24,13.7,202,804,174,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Oil Cooled,305000,160,1100,7,9,7,8,9,6,1,No,5,2,8,7,1,Royal Enfield,2018
KTM,Duke 125,Chrome Connect (2018),124,14.5 bhp,12 Nm,40,13.4,159,822,175,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,178000,112,700,7,8,7,5,6,8,1,Yes,8,1,3,9,1,KTM,2018
KTM,Duke 200,Chrome Connect (2018),199,25.0 bhp,19.3 Nm,35,13.4,159,822,175,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,196000,130,800,8,8,7,6,7,8,1,Yes,8,2,3,9,1,KTM,2018
KTM,Duke 250,Chrome Connect (2018),248,30.0 bhp,24 Nm,32,13.5,162,822,176,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,239000,142,900,7,8,8,7,8,8,1,Intermediate,8,3,4,9,1,KTM,2018
KTM,Duke 390,Chrome Connect (2018),373,43.5 bhp,37 Nm,28,15.0,171,800,151,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,311000,165,1200,8,8,7,7,8,8,1,No,9,4,3,9,1,KTM,2018
KTM,RC 200,Chrome Connect (2018),199,25.0 bhp,19.2 Nm,35,13.7,160,824,158,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,218000,135,900,7,8,6,5,6,7,1,Intermediate,9,1,2,7,1,KTM,2018
KTM,RC 390,Chrome Connect (2018),373,43.5 bhp,37 Nm,28,13.7,172,824,158,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,318000,169,1300,8,8,6,6,8,6,1,No,10,2,2,6,1,KTM,2018
Yamaha,R15 V4,Chrome Connect (2018),155,18.4 bhp,14.2 Nm,45,11.0,141,815,170,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,182000,140,600,9,9,7,6,7,8,1,Yes,9,2,2,8,1,Yamaha,2018
Yamaha,MT-15 V2,Chrome Connect (2018),155,18.4 bhp,14.1 Nm,48,10.0,139,810,170,Dual Channel,Yes,Yes,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,168000,130,550,9,9,7,6,7,9,1,Yes,8,2,2,9,1,Yamaha,2018
Yamaha,FZ-S FI,Chrome Connect (2018),149,12.4 bhp,13.3 Nm,50,13.0,135,790,165,Single Channel,No,Yes,No,No,No,Tubeless,Manual,Petrol,Air Cooled,122000,112,400,8,9,8,7,7,9,1,Yes,4,2,5,8,1,Yamaha,2018
Yamaha,FZ-X,Chrome Connect (2018),149,12.4 bhp,13.3 Nm,48,10.0,139,780,165,Single Channel,No,Yes,No,No,No,Tubeless,Manual,Petrol,Air Cooled,136000,110,450,7,9,8,7,7,8,2,Yes,3,2,6,8,1,Yamaha,2018
Bajaj,Pulsar 125,Chrome Connect (2018),124,11.8 bhp,10.8 Nm,52,11.5,140,790,165,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,90000,105,300,8,9,8,6,6,9,1,Yes,3,1,4,8,1,Bajaj,2018
Bajaj,Pulsar 150,Chrome Connect (2018),149,14.0 bhp,13.2 Nm,50,15.0,150,785,165,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,115000,115,400,8,9,8,7,7,8,1,Yes,4,1,4,8,1,Bajaj,2018
Bajaj,Pulsar NS200,Chrome Connect (2018),199,24.5 bhp,18.7 Nm,35,12.0,158,805,168,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,142000,136,600,8,8,7,6,7,8,1,Intermediate,8,2,3,8,1,Bajaj,2018
Bajaj,Dominar 400,Chrome Connect (2018),373,40.0 bhp,35 Nm,27,13.0,193,800,157,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,230000,155,900,7,8,8,9,9,6,1,Intermediate,5,3,8,7,1,Bajaj,2018
Hero,Splendor Plus,Chrome Connect (2018),97,8.0 bhp,8.05 Nm,65,9.8,112,785,165,None,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,75000,90,250,10,10,8,5,5,10,1,Yes,1,1,3,8,1,Hero,2018
Hero,HF Deluxe,Chrome Connect (2018),97,8.0 bhp,8.05 Nm,65,9.6,110,805,165,None,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,65000,90,220,9,10,8,5,5,10,1,Yes,1,1,3,8,1,Hero,2018
Hero,Glamour,Chrome Connect (2018),124,10.7 bhp,10.6 Nm,55,10.0,122,790,180,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,82000,98,300,8,9,8,6,6,9,1,Yes,2,1,4,8,1,Hero,2018
Hero,Xpulse 200 4V,Chrome Connect (2018),199,19.1 bhp,17.3 Nm,38,13.0,158,825,220,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,145000,115,500,8,8,8,8,8,7,9,Yes,3,9,3,7,1,Hero,2018
Honda,Activa 6G,Chrome Connect (2018),109,7.8 bhp,8.9 Nm,50,5.3,106,692,162,None,No,No,No,No,No,Tubeless,Automatic,Petrol,Air Cooled,78000,85,250,10,10,9,4,5,10,1,Yes,1,1,1,2,10,Honda,2018
Honda,SP 125,Chrome Connect (2018),124,10.7 bhp,10.9 Nm,60,11.0,116,790,160,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,86000,100,300,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,Shine 125,Chrome Connect (2018),124,10.7 bhp,11 Nm,58,10.5,114,791,162,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,80000,98,280,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,CB350 H'ness,Chrome Connect (2018),348,20.8 bhp,30 Nm,35,15.0,181,800,166,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,210000,120,600,8,9,9,8,8,8,1,Yes,2,2,9,6,1,Honda,2018
Suzuki,Access 125,Chrome Connect (2018),124,8.7 bhp,10 Nm,48,5.0,103,773,160,Single Channel,No,Yes,No,No,No,Tubeless,Automatic,Petrol,Air Cooled,80000,90,280,9,9,9,4,5,10,1,Yes,1,1,1,2,10,Suzuki,2018
Suzuki,Gixxer SF 250,Chrome Connect (2018),249,26.1 bhp,22.2 Nm,38,12.0,161,800,165,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Oil Cooled,192000,145,650,7,8,7,7,8,8,1,Intermediate,8,2,3,8,1,Suzuki,2018
Suzuki,Hayabusa,Chrome Connect (2018),1340,190 bhp,150 Nm,15,20.0,264,800,125,Dual Channel,Yes,No,No,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,1695000,299,4500,6,7,7,8,9,4,1,No,8,1,4,5,1,Suzuki,2018
Kawasaki,Ninja 300,Chrome Connect (2018),296,39 bhp,26.1 Nm,28,17.0,179,785,140,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,343000,160,1500,7,7,7,7,8,6,1,Intermediate,8,2,3,6,1,Kawasaki,2018
Kawasaki,Ninja 650,Chrome Connect (2018),649,68 bhp,64 Nm,21,15.0,196,790,130,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,716000,210,2500,7,7,7,8,8,6,1,No,8,2,4,7,1,Kawasaki,2018
Kawasaki,Z900,Chrome Connect (2018),948,125 bhp,98.6 Nm,17,17.0,212,820,145,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,920000,240,3200,7,7,8,7,8,7,1,No,9,1,3,9,1,Kawasaki,2018
Triumph,Speed 400,Chrome Connect (2018),398,39.5 bhp,37.5 Nm,30,13.0,176,790,160,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,233000,145,900,8,8,8,7,8,8,1,Yes,5,2,6,9,1,Triumph,2018
Triumph,Scrambler 400X,Chrome Connect (2018),398,39.5 bhp,37.5 Nm,28,13.0,185,835,195,Dual Channel,Yes,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,263000,140,1000,8,8,8,8,8,7,8,Intermediate,5,8,4,7,1,Triumph,2018
Harley-Davidson,X440,Chrome Connect (2018),440,27 bhp,38 Nm,32,13.5,190.5,805,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,240000,130,950,8,8,9,8,8,8,1,Yes,3,2,9,6,1,Harley-Davidson,2018
Royal Enfield,Classic 350,Special Edition (2018),349,20.2 bhp,27 Nm,35,13.0,195,805,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,231000,114,500,9,9,9,8,8,9,2,Yes,3,2,9,6,1,Royal Enfield,2018
Royal Enfield,Bullet 350,Special Edition (2018),349,20.2 bhp,27 Nm,37,13.0,191,805,170,Single Channel,No,Yes,Yes,No,No,Tubed,Manual,Petrol,Air Cooled,183750,110,450,9,9,8,7,7,8,1,Yes,2,2,8,5,1,Royal Enfield,2018
Royal Enfield,Meteor 350,Special Edition (2018),349,20.2 bhp,27 Nm,35,15.0,191,765,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,215250,120,550,8,9,9,9,8,8,1,Yes,2,2,10,6,1,Royal Enfield,2018
Royal Enfield,Himalayan 450,Special Edition (2018),452,40.0 bhp,40 Nm,30,17.0,196,825,230,Dual Channel,No,Yes,Yes,No,Yes,Tubeless,Manual,Petrol,Liquid Cooled,299250,140,800,8,8,8,9,9,7,8,No,3,10,4,6,1,Royal Enfield,2018
Royal Enfield,Hunter 350,Special Edition (2018),349,20.2 bhp,27 Nm,36,13.0,181,790,150,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,157500,114,450,9,9,8,7,7,9,1,Yes,3,2,7,8,1,Royal Enfield,2018
Royal Enfield,Interceptor 650,Special Edition (2018),648,47.0 bhp,52 Nm,24,13.7,202,804,174,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,320250,160,1100,7,9,7,8,9,6,1,No,5,2,8,7,1,Royal Enfield,2018
KTM,Duke 125,Special Edition (2018),124,14.5 bhp,12 Nm,40,13.4,159,822,175,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,186900,112,700,7,8,7,5,6,8,1,Yes,8,1,3,9,1,KTM,2018
KTM,Duke 200,Special Edition (2018),199,25.0 bhp,19.3 Nm,35,13.4,159,822,175,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,205800,130,800,8,8,7,6,7,8,1,Yes,8,2,3,9,1,KTM,2018
KTM,Duke 250,Special Edition (2018),248,30.0 bhp,24 Nm,32,13.5,162,822,176,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,250950,142,900,7,8,8,7,8,8,1,Intermediate,8,3,4,9,1,KTM,2018
KTM,Duke 390,Special Edition (2018),373,43.5 bhp,37 Nm,28,15.0,171,800,151,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,326550,165,1200,8,8,7,7,8,8,1,No,9,4,3,9,1,KTM,2018
KTM,RC 200,Special Edition (2018),199,25.0 bhp,19.2 Nm,35,13.7,160,824,158,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,228900,135,900,7,8,6,5,6,7,1,Intermediate,9,1,2,7,1,KTM,2018
KTM,RC 390,Special Edition (2018),373,43.5 bhp,37 Nm,28,13.7,172,824,158,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,333900,169,1300,8,8,6,6,8,6,1,No,10,2,2,6,1,KTM,2018
Yamaha,R15 V4,Special Edition (2018),155,18.4 bhp,14.2 Nm,45,11.0,141,815,170,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,191100,140,600,9,9,7,6,7,8,1,Yes,9,2,2,8,1,Yamaha,2018
Yamaha,MT-15 V2,Special Edition (2018),155,18.4 bhp,14.1 Nm,48,10.0,139,810,170,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,176400,130,550,9,9,7,6,7,9,1,Yes,8,2,2,9,1,Yamaha,2018
Yamaha,FZ-S FI,Special Edition (2018),149,12.4 bhp,13.3 Nm,50,13.0,135,790,165,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,128100,112,400,8,9,8,7,7,9,1,Yes,4,2,5,8,1,Yamaha,2018
Yamaha,FZ-X,Special Edition (2018),149,12.4 bhp,13.3 Nm,48,10.0,139,780,165,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,142800,110,450,7,9,8,7,7,8,2,Yes,3,2,6,8,1,Yamaha,2018
Bajaj,Pulsar 125,Special Edition (2018),124,11.8 bhp,10.8 Nm,52,11.5,140,790,165,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,94500,105,300,8,9,8,6,6,9,1,Yes,3,1,4,8,1,Bajaj,2018
Bajaj,Pulsar 150,Special Edition (2018),149,14.0 bhp,13.2 Nm,50,15.0,150,785,165,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,120750,115,400,8,9,8,7,7,8,1,Yes,4,1,4,8,1,Bajaj,2018
Bajaj,Pulsar NS200,Special Edition (2018),199,24.5 bhp,18.7 Nm,35,12.0,158,805,168,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,149100,136,600,8,8,7,6,7,8,1,Intermediate,8,2,3,8,1,Bajaj,2018
Bajaj,Dominar 400,Special Edition (2018),373,40.0 bhp,35 Nm,27,13.0,193,800,157,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,241500,155,900,7,8,8,9,9,6,1,Intermediate,5,3,8,7,1,Bajaj,2018
Hero,Splendor Plus,Special Edition (2018),97,8.0 bhp,8.05 Nm,65,9.8,112,785,165,None,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,78750,90,250,10,10,8,5,5,10,1,Yes,1,1,3,8,1,Hero,2018
Hero,HF Deluxe,Special Edition (2018),97,8.0 bhp,8.05 Nm,65,9.6,110,805,165,None,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,68250,90,220,9,10,8,5,5,10,1,Yes,1,1,3,8,1,Hero,2018
Hero,Glamour,Special Edition (2018),124,10.7 bhp,10.6 Nm,55,10.0,122,790,180,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,86100,98,300,8,9,8,6,6,9,1,Yes,2,1,4,8,1,Hero,2018
Hero,Xpulse 200 4V,Special Edition (2018),199,19.1 bhp,17.3 Nm,38,13.0,158,825,220,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,152250,115,500,8,8,8,8,8,7,9,Yes,3,9,3,7,1,Hero,2018
Honda,Activa 6G,Special Edition (2018),109,7.8 bhp,8.9 Nm,50,5.3,106,692,162,None,No,Yes,Yes,No,No,Tubeless,Automatic,Petrol,Air Cooled,81900,85,250,10,10,9,4,5,10,1,Yes,1,1,1,2,10,Honda,2018
Honda,SP 125,Special Edition (2018),124,10.7 bhp,10.9 Nm,60,11.0,116,790,160,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,90300,100,300,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,Shine 125,Special Edition (2018),124,10.7 bhp,11 Nm,58,10.5,114,791,162,Single Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,84000,98,280,9,9,8,6,6,9,1,Yes,2,1,4,8,1,Honda,2018
Honda,CB350 H'ness,Special Edition (2018),348,20.8 bhp,30 Nm,35,15.0,181,800,166,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,220500,120,600,8,9,9,8,8,8,1,Yes,2,2,9,6,1,Honda,2018
Suzuki,Access 125,Special Edition (2018),124,8.7 bhp,10 Nm,48,5.0,103,773,160,Single Channel,No,Yes,Yes,No,No,Tubeless,Automatic,Petrol,Air Cooled,84000,90,280,9,9,9,4,5,10,1,Yes,1,1,1,2,10,Suzuki,2018
Suzuki,Gixxer SF 250,Special Edition (2018),249,26.1 bhp,22.2 Nm,38,12.0,161,800,165,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,201600,145,650,7,8,7,7,8,8,1,Intermediate,8,2,3,8,1,Suzuki,2018
Suzuki,Hayabusa,Special Edition (2018),1340,190 bhp,150 Nm,15,20.0,264,800,125,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,1779750,299,4500,6,7,7,8,9,4,1,No,8,1,4,5,1,Suzuki,2018
Kawasaki,Ninja 300,Special Edition (2018),296,39 bhp,26.1 Nm,28,17.0,179,785,140,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,360150,160,1500,7,7,7,7,8,6,1,Intermediate,8,2,3,6,1,Kawasaki,2018
Kawasaki,Ninja 650,Special Edition (2018),649,68 bhp,64 Nm,21,15.0,196,790,130,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,751800,210,2500,7,7,7,8,8,6,1,No,8,2,4,7,1,Kawasaki,2018
Kawasaki,Z900,Special Edition (2018),948,125 bhp,98.6 Nm,17,17.0,212,820,145,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,966000,240,3200,7,7,8,7,8,7,1,No,9,1,3,9,1,Kawasaki,2018
Triumph,Speed 400,Special Edition (2018),398,39.5 bhp,37.5 Nm,30,13.0,176,790,160,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,244650,145,900,8,8,8,7,8,8,1,Yes,5,2,6,9,1,Triumph,2018
Triumph,Scrambler 400X,Special Edition (2018),398,39.5 bhp,37.5 Nm,28,13.0,185,835,195,Dual Channel,Yes,Yes,Yes,No,No,Tubeless,Manual,Petrol,Liquid Cooled,276150,140,1000,8,8,8,8,8,7,8,Intermediate,5,8,4,7,1,Triumph,2018
Harley-Davidson,X440,Special Edition (2018),440,27 bhp,38 Nm,32,13.5,190.5,805,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Oil Cooled,252000,130,950,8,8,9,8,8,8,1,Yes,3,2,9,6,1,Harley-Davidson,2018
Royal Enfield,Classic 350,Standard (2019),349,20.2 bhp,27 Nm,35,13.0,195,805,170,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,220000,114,500,9,9,9,8,8,9,2,Yes,3,2,9,6,1,Royal Enfield,2019
Royal Enfield,Bullet 350,Standard (2019),349,20.2 bhp,27 Nm,37,13.0,191,805,170,Single Channel,No,No,No,No,No,Tubed,Manual,Petrol,Air Cooled,175000,110,450,9,9,8,7,7,8,1,Yes,2,2,8,5,1,Royal Enfield,2019
Royal Enfield,Meteor 350,Standard (2019),349,20.2 bhp,27 Nm,35,15.0,191,765,170,Dual Channel,No,Yes,Yes,No,No,Tubeless,Manual,Petrol,Air Cooled,205000,120,550,8,9,9,9,8,8,1,Yes,2,2,10,6,1,Royal Enfield,2019
Royal Enfield,Himalayan 450,Standard (2019),452,40.0 bhp,40 Nm,30,17.0,196,825,230,Dual Channel,No,Yes,Yes,No,Yes,Tubeless,Manual,Petrol,Liquid Cooled,285000,140,800,8,8,8,9,9,7,8,No,3,10,4,6,1,Royal Enfield,2019
Royal Enfield,Hunter 350,Standard (2019),349,20.2 bhp,27 Nm,36,13.0,181,790,150,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Air Cooled,150000,114,450,9,9,8,7,7,9,1,Yes,3,2,7,8,1,Royal Enfield,2019
Royal Enfield,Interceptor 650,Standard (2019),648,47.0 bhp,52 Nm,24,13.7,202,804,174,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Oil Cooled,305000,160,1100,7,9,7,8,9,6,1,No,5,2,8,7,1,Royal Enfield,2019
KTM,Duke 125,Standard (2019),124,14.5 bhp,12 Nm,40,13.4,159,822,175,Single Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,178000,112,700,7,8,7,5,6,8,1,Yes,8,1,3,9,1,KTM,2019
KTM,Duke 200,Standard (2019),199,25.0 bhp,19.3 Nm,35,13.4,159,822,175,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,196000,130,800,8,8,7,6,7,8,1,Yes,8,2,3,9,1,KTM,2019
KTM,Duke 250,Standard (2019),248,30.0 bhp,24 Nm,32,13.5,162,822,176,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,239000,142,900,7,8,8,7,8,8,1,Intermediate,8,3,4,9,1,KTM,2019
KTM,Duke 390,Standard (2019),373,43.5 bhp,37 Nm,28,15.0,171,800,151,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,311000,165,1200,8,8,7,7,8,8,1,No,9,4,3,9,1,KTM,2019
KTM,RC 200,Standard (2019),199,25.0 bhp,19.2 Nm,35,13.7,160,824,158,Dual Channel,No,No,No,No,No,Tubeless,Manual,Petrol,Liquid Cooled,218000,135,900,7,8,6,5,6,7,1,Intermediate,9,1,2,7,1,KTM,2019
KTM,RC 390,Standard (2019),373,43.5 bhp,37 Nm,28,13.7,172,824,158,Dual Channel,Yes,Yes,Yes,Yes,Yes,Tubeless,Manual,Petrol,Liquid Cooled,318000,169,1300,8,8,6,6,8,6,1,No,10,2,2,6,1,KTM,2019
